street
вул. абрыкосавая
вул. Авакяна
вул. авангардная
зав. авангардны
вул. Авроровская
вул. Автодоровская
зав. Автодоровский
вул. Аўтазаводская
зав. Аўтазаводскі
вул. аўтамабілістаў
зав. агатавых
вул. Азгура
вул. Азізавым
вул. Азоўская
зав. Айвазоўскага
вул. Айвазоўскага
зав. акадэміка Вышалескага
вул. акадэміка Вышалескага
зав. акадэміка Жэбрака
вул. акадэміка Жэбрака
вул. акадэміка Купрэвіча
вул. акадэміка Фёдарава
вул. акадэмічная
вул. Аладавых
вул. Аляксандраўская
вул. Алеся Бачылы
вул. Алеся Гаруна
вул. Алібегава
вул. Аллейная
вул. Алтайская
зав. алтайскі
вул. амбулаторная
зав. амбулаторны
вул. Амуратарская
вул. Амурская
зав. амурскі
вул. Ангарская
зав. Ангарскі
вул. Андрэеўская
вул. Аннаева
вул. Антонава
вул. Антонаўская
вул. Аполинарьевская
вул. Аранская
вул. Арктычная 1-я
зав. Арцёма 1-й
праезд Арцёма 1-й
вул. Арцёма
вул. артылерыстаў
зав. Асаналіева
вул. Асаналіева
вул. Ауэзава
вул. Аэрадромная
зав. аэрадромны
вул. Аэрафлоцкай
зав. Аэрафлоцкай 1-й
вул. Бабулін
зав. Баграціёна 1-й
зав. Баграціёна 2-й
вул. Баграціёна
вул. Барвовая
зав. барвяны
вул. Базісная 1-я
вул. Базісная 2-я
зав. базісны
вул. Байкальская
вул. бакінская
вул. балтыйская
плошчу Бангалор
вул. Барановщина
зав. Басиаловский 1-й
зав. Басиаловский 2-й
вул. Баторинская
зав. Баторинский
вул. Бачыла Алеся
вул. Бягомльская
вул. бяды
вул. Бялецкага
вул. Бялінскага
вул. Беламорская
вул. беларуская
зав. Беларускі 2-й
вул. Бельскага
вул. Бельчыцкага
вул. Бяляева
вул. Бярэзінская
вул. Берасцянская
вул. Берсана
вул. Берута
праезд Бетонны
зав. Бехцерава
вул. Бехцерава
вул. бібліятэчная
вул. Бірузова
вул. бабруйская
зав. Багдановіча Максіма
вул. Багдановіча Максіма
плошча Багушэвіча
вул. балотная
зав. Балотнікава
вул. Балотнікава
зав. балотны
зав. бальнічны
вул. вялікая Слепня
вул. бор Сасновы
зав. Боровецкий
вул. Барадзінская
вул. Батанічная
вул. Брагінская
зав. Брагінскі 1-й
зав. Брагінскі 2-й
зав. братэрскі
вул. Брэст-Літоўская
вул. брэсцкая
зав. Брэсцкі 1-й
зав. Брэсцкі 2-й
зав. Брэсцкі 3-ці
зав. Брэсцкі 4-й
зав. Брэсцкі 5-й
вул. брыкету
вул. Брылеўская
Брылеўскі тупік
вул. Бровикова
вул. Броўкі Петруся
зав. бранявы
вул. Браніслава Тарашкевіча
вул. Брыля Янкі
вул. Будзёнага
вул. Будслаўская
зав. Будслаўскі
вул. Буйло Канстанцыі
зав. Буйніцкага Ігната
вул. Буйніцкага Ігната
бульвар Мулявіна
бульвар Трактарабудаўнікоў
бульвар Шаўчэнкі
зав. Бумажкова
праезд Бумажкова
вул. Бумажкова
вул. Бурдзейнага
вул. Быхаўская
